Tibetan	Description
རླུང་དཀྱིལ་	The Mandala of the wind element [e:The Mandala of the wind element     
རླུང་ཁྱབ་བྱེད་	Pervading wind, Pervasive energy Location: Heart Element: Space Actions: It pervades from the brain to the toes of the feet and is responsible for all movements. It is also responsible for functioning of muscle tissues, lifting, walking, stretching and contraction. [e:Pervading wind, Pervasive energy Location: Heart Element: Space Actions: It pervades from the brain to the toes of the feet and is responsible for all movements. It is also responsible for functioning of muscle tissues, lifting, walking, stretching and contraction.  
རླུང་གྱེན་རྒྱུ་	udana-vayu Ascending wind, the Ascending Vital wind energy, Location: Chest Element: Fire Actions: All vocal activities, and enhances breathing capacity. It is also responsible for speech, fair complexion, physical strength and clarity of memory. [e:Ascending wind, the Ascending Vital wind energy, ༼sk=udana-vayu༽ Location: Chest Element: Fire Actions: All vocal activities, and enhances breathing capacity. It is also responsible for speech, fair complexion, physical strength and clarity of memory.  
རླུང་ཐུར་སེལ་	apana- vayu Descending wind, Location: Genital area Element Earth Actions: Elimination of bodily wastes and retention of essence and bodily constituents. It is also responsible for defaecation, urination, ejaculation of sperms and menstrual blood, and opening and contractile activity of the uterus. [e:Descending wind, ༼sk= apana- vayu༽ Location: Genital area Element Earth Actions: Elimination of bodily wastes and retention of essence and bodily constituents. It is also responsible for defaecation, urination, ejaculation of sperms and menstrual blood, and opening and contractile activity of the uterus.  
རླུང་ནད་	Diseases caused by imbalance of wind [e:Diseases caused by imbalance of wind (wind disorders)  
རླུང་བུམ་པ་ཅན་	The vase-like Wind A tantric practice of wind mediatation in which, air from bottom of one's body is drawn up and air from the upper body is compressed down so as to form a vase-shape at the navel level, and then retained and released per the instructions of one's master. [e:The vase-like Wind A tantric practice of wind mediatation in which, air from bottom of one's body is drawn up and air from the upper body is compressed down so as to form a vase-shape at the navel level, and then retained and released per the instructions of one's master.  
རླུང་མེ་མཉམ་	The Fire-accompanying wind Location: Stomach Element: Air Actions: It separates the nutriment of food and drink from the waste and sends the nutriments to various parts of the body. It is also responsible for proper digestion, absorption and metabolic activities of the bodily constituents. [e:The Fire-accompanying wind Location: Stomach Element: Air Actions: It separates the nutriment of food and drink from the waste and sends the nutriments to various parts of the body. It is also responsible for proper digestion, absorption and metabolic activities of the bodily constituents.  
བརླ་རྐང་	Thigh bone, femur [e:Thigh bone, femur  
བརླ་རེངས་	Stiff thigh disorder; a kind of wind disorder which affects thighs [e:Stiff thigh disorder; a kind of wind disorder which affects thighs  
བརླ་ཤ་	Thigh [e:Thigh  
ལ་ཆ་	༼hn=༽ Khacha English name: Shell-lac, Sealing wax [e:༼hn=༽ Khacha English name: Shell-lac, Sealing wax     
ལ་ལ་ཕུད་	Ajvan, jawani ༼bot=༽ Foeniculum Vulgare Mill Uses: It has medicinal value to treat stomach and cold disorders, and to promote digestive heat. [e:༼sk=Ajvan, jawani༽ ༼bot=༽ Foeniculum Vulgare Mill Uses: It has medicinal value to treat stomach and cold disorders, and to promote digestive heat.  
ལག་ངར་	Arm [e:Arm  
ལག་ཆ་	Instruments, equipments, tools [e:Instruments, equipments, tools     
ལག་མཐིལ་	Palm of the hand [e:Palm of the hand  
ལག་རྩལ་	Technical skills [e:Technical skills  
ལག་ཚིགས་	Joints of the hands [e:Joints of the hands  
ལག་ལེན་	Practical ལང་ཐང་རྩེ ༼hn=༽ Khurasani ༼en=༽ Henbane ༼bot=༽ Hyoscyamus niger [e:Practical ལང་ཐང་རྩེ ༼hn=༽ Khurasani ༼en=༽ Henbane ༼bot=༽ Hyoscyamus niger Taste: Bitter and acrid Uses: It kills bacteria and heals wounds.  
ལན་ཆགས་	Debt, misfortune [e:Debt, misfortune  
ལན་ཚ་	༼hn=༽ Lawae ༼en=༽ Salt Scientific Name: Halitum [e:༼hn=༽ Lawae ༼en=༽ Salt Scientific Name: Halitum Taste: Salty Potency: Warm Uses: It is useful in treating impaired digestive heat, indigestion, tumour, poisoning and constipation.  
ལན་ཚ་བ་	Salty taste Uses: Salty taste is recognized by its special characteristics such as heating and is a sialagogue [e:Salty taste Uses: Salty taste is recognized by its special characteristics such as heating and is a sialagogue (which increases salivation). It is needed in large amount for རླུང། in moderates amount for མཁྲིས་པ and less amount for བད་ཀན . Examples of some food and medicinal substances containing salty tastes are sea salt, rock salt, wood salt, horn salt, black sanchal salt, white mineral salt, ash salt, and seaweed.  
ལབ་སོན་	Radish seed [e:Radish seed (Raphanus sativus Linn)  
ལམ་འགྲོ་	Luck, fortune [e:Luck, fortune     
ལམ་ལྔ་	The five paths ༼m1༽ ཚོགས་ལམ - path of accumulation ༼m2༽ སྦྱོར་ལམ - path of preparation ༼m3༽ མཐོང་ལམ - path of seeing ༼m4༽ སྒོམ་ལམ - path of meditation [e:The five paths   ༼m1༽ ཚོགས་ལམ - path of accumulation   ༼m2༽ སྦྱོར་ལམ - path of preparation   ༼m3༽ མཐོང་ལམ - path of seeing   ༼m4༽ སྒོམ་ལམ - path of meditation   ༼m5༽ མི་སློབ་ལམ - path of no more learning     
ལམ་བཅོ་ལྔ་	The fifteen paths (of three humours) A) The five pathways of རླུང disorders ༼m1༽ རུས་པ (bone) ༼m2༽ རྣ་བ (ear) ༼m3༽ རེག་བྱ (skin) ༼m4༽ སྙིང་སྲོག (heart, life channel) ༼m5༽ ལོང (large intestine) B) The five pathways of མཁྲིས་པ disorders ༼m1༽ ཁྲག (blood) ༼m2༽ རྔུལ (sweat glands) ༼m3༽ མིག (eye) ༼m4༽ མཆིན (liver) ༼m5༽ མཁྲིས་པ - རྒྱུ་མ (gall bladder and small intestine) C) The five pathways of བལ་ཀན disorders ༼m1༽ དངས་མ་ཤ་ཚིལ་རྐན ག་ཁུ་བ (nutritional essence, muscle dssues, fatty tissues, marrow, regenerative fluids) ༼m2༽ བཤང་གཅི (stool, urine) ༼m3༽ སྣ་ལྕེ (nose, tongue) ༼m4༽ གློ་མཆེར་མཁལ (lung, spleen, kidneys) [e:The fifteen paths (of three humours) A) The five pathways of རླུང disorders   ༼m1༽ རུས་པ (bone)   ༼m2༽ རྣ་བ (ear)   ༼m3༽ རེག་བྱ (skin)   ༼m4༽ སྙིང་སྲོག (heart, life channel)   ༼m5༽ ལོང (large intestine) B) The five pathways of མཁྲིས་པ disorders   ༼m1༽ ཁྲག (blood)   ༼m2༽ རྔུལ (sweat glands)   ༼m3༽ མིག (eye)   ༼m4༽ མཆིན (liver)   ༼m5༽ མཁྲིས་པ - རྒྱུ་མ (gall bladder and small intestine) C) The five pathways of བལ་ཀན disorders   ༼m1༽ དངས་མ་ཤ་ཚིལ་རྐན ག་ཁུ་བ (nutritional essence, muscle dssues, fatty tissues, marrow, regenerative fluids)   ༼m2༽ བཤང་གཅི (stool, urine)   ༼m3༽ སྣ་ལྕེ (nose, tongue)   ༼m4༽ གློ་མཆེར་མཁལ (lung, spleen, kidneys)   ༼m5༽ ཕོ་ལྒང (stomach, urinary bladder) ལམ་ལྟས་ངན་པའི་རིགས Unfortunate omens on the road to journey     
ལས་ཀྱི་ཕྱག་རྒྱ་	Action mudra; action seal [e:Action mudra; action seal  
ལས་ཀྱི་རླུང་	Karmic wind energy It is an active energy of mental consciousness or the vital wind energy of past deeds. [e:Karmic wind energy It is an active energy of mental consciousness or the vital wind energy of past deeds.     
ལས་དཀར་པོ་	Positive actions [e:Positive actions (any action of the body, speech and mind that produces happiness and benefits for oneself and others)  
ལས་བྱེད་	Working It is one of the twelve rises and falls [e:Working It is one of the twelve rises and falls ( དར་གུད་བཅུ་ངཡིས )     
ལས་རིགས་	Professions [e:Professions  
ལི་	 ༼m1༽ bell metal ༼m2༽ pear fruit [e:  ༼m1༽ bell metal   ༼m2༽ pear fruit   ༼m3༽ one of the eight པར་ཁས     
ལི་ཁྲི་	༼hn=༽ Sindoor ༼en=༽ Vermilion, Red lead Uses: It has medicinal value to control necrosis. [e:༼hn=༽ Sindoor ༼en=༽ Vermilion, Red lead Uses: It has medicinal value to control necrosis.  
ལི་ག་དུར་	༼bot=༽ Geranium pratense [e:༼bot=༽ Geranium pratense Taste: Astringent, sweet and hot Potency: Cool Uses: It is used against fever due to common cold, inflammation of the lungs, channels, nerves, blood vessels, pain and swelling in the limbs.  
ལི་ཤི་	Lavanga ༼hn=༽ Long/Laung ༼en=༽ Clove ༼bot=༽ Syzygium aromaticum Family: Myrtaceae [e:༼sk= Lavanga༽ ༼hn=༽ Long/Laung ༼en=༽ Clove ༼bot=༽ Syzygium aromaticum Family: Myrtaceae Taste: Hot Potency: Warm Uses: It is beneficial for the treatment of life channel ailments ( སྲོག་སྩའ་ནད ), disorders of arterial and nerve tissue, anorexia, indigestion, loss of gastro-hepatic power, inflammations of the mouth and throat, small pox and combined disorders of རླུང and cold. It also promotes appetite, aids digestion and controls hiccough.  
ལིང་ཚེ་དགུ་	Gratings, lattice; a lattice with nine squares or rectangles in it [e:Gratings, lattice; a lattice with nine squares or rectangles in it  
ལུག་	 [e:  ༼m1༽ Sheep (one of the twelve animal signs)   ༼m2༽ Aries, one of the twelve zodiac signs     
ལུག་ཁལ་	Load carried by a sheep [e:Load carried by a sheep  
ལུག་ངལ་	Corydalis adunca Maxim Uses: It has medicinal value to alleviate disorders due to poison and relieves swelling of the limbs. [e:Corydalis adunca Maxim Uses: It has medicinal value to alleviate disorders due to poison and relieves swelling of the limbs.  
ལུག་ཆུང་	༼bot=༽ Aster diplostaphioides, Aster strachei [e:༼bot=༽ Aster diplostaphioides, Aster strachei (Aster poliothamnus) Uses: It is used against infectious fever, poisoning, brown phlegm and channel fevers.  
ལུག་མཉེ་	༼bot=༽ Polygonatum oppositifolium [e:༼bot=༽ Polygonatum oppositifolium Taste: Sweet, bitter and astringent Potency: Warm Uses: It is useful in the treatment of pain in the kidneys and waist region, fluid retention in the joints, weak digestive heat, first stage of dropsy, impotency, རླུང disorders and restores bodily strength.  
ལུག་ཐུག་	Uncastrated ram [e:Uncastrated ram (Ovis aries) Uses: The horn of a ram opens the mouth of the womb and helps in the delivery of a baby. It is also beneficial for gynaecological diseases.  
ལུག་མིག་	Aster sp. [e:Aster sp. (༼lv=lit༽ sheep's eye)  
ལུག་མིག་མེ་ཏོག་	༼bot=༽ Chrysanthemum, Aster barbellatus [e:༼bot=༽ Chrysanthemum, Aster barbellatus (༼lv=lit༽ sheep eye flower) Uses: It has medicinal value to treat disorders due to poison and to subside contagious fever.  
ལུག་མུར་	༼bot=༽ Phlomis younghusbandii Murkerj [e:༼bot=༽ Phlomis younghusbandii Murkerj Taste: Sweet to astringent Potency: Neutral Uses: It is useful in the treatment of infectious common cold accompanied by fever, lung diseases, pharyngitis, malignant and benign tumours and disturbed fever.  
ལུག་གཞུག་	Muscles of the upper arms, biceps brachii [e:Muscles of the upper arms, biceps brachii  
ལུག་རུ་	Pedicularis sp [e:Pedicularis sp     
ལུག་རུ་དཀར་པོ་	Pedicularis hoffmeisteris [e:Pedicularis hoffmeisteris  
ལུག་རུ་སྨུག་པོ་	༼bot=༽ Pedicularis Oliveriana Prain [e:༼bot=༽ Pedicularis Oliveriana Prain Taste: Bitter Potency: Cool Uses: It is useful in the treatment of meat poisoning, dysentery, disorders of the stomach and small intestine, བད་ཀན་སྨུག་པོ and helps in assembling the diffused toxins in the body.  
ལུག་རུ་སེར་པོ་	༼bot=༽ Pedicularis longiflora Rudolph [e:༼bot=༽ Pedicularis longiflora Rudolph Taste: Bitter and astringent Potency: Cool Uses: It is useful in the treatment of hot disorders of the liver and gall bladder, excessive seminal discharge, oedema and hangover.  
ལུག་སུག་	Melandrium glandulosum [e:Melandrium glandulosum (Maxim) F.N. Williams Linn  
ལུང་	Oral transmission [e:Oral transmission (transference of the pure blessing from a teacher to disciples by his or her recitation of the classic medical and astro, texts)     
ལུང་བསྟན་	Prophecy [e:Prophecy     
ལུང་མ་བསྟན་	Neutral; indeterminate [e:Neutral; indeterminate     
ལུང་རིགས་	Scriptural support and logic [e:Scriptural support and logic  
ལུད་པ་	Phlegm, sputum [e:Phlegm, sputum  
ལུས་ཐིག་	Tibetan system of body measurements [e:Tibetan system of body measurements  
ལུས་རྫོགས་	Completion of the body; one of the twelve rises and falls ( དར་གུད་བཅུ་གཉིས ) calculations ལུས་ཟུངས Bodily constituents ལུས་ཟུངས་བདུན The seven bodily constituents (Ayur: sat dhatus) ༼m1༽ དངས་མ -Nutritional essence ༼m2༽ ཁྲག -Blood ༼m3༽ ཤ -Muscle tissue ༼m4༽ ཚིལ -Fatty tissues ༼m5༽ རུས -Bone ༼m6༽ རྐང -Marrow ༼m7༽ khu.ba-regenerative essence/fluids ལུས་རིད Emaciation of the body ལུས་སེམས་ལྕི Heaviness of body and mind ལེ་བརྒན Tagetes erecta L. ལེ་བརྒན་དམན་པ Calendule officinalis L. ལེ་ལོ Laziness ལེན་པ To take (grasping) ལེན་པ་པོ Taker ལེན་པ་པོ་བཞི The four takers ༼m1༽ དྲང་སོང་ཀུན་ཏུ་ལེནཔ ༼m2༽ དྲང་སོངཇང་དཀ་ལེནཔ ༼m3༽ དྲང་སོང་དེ་ཝར་ཀནཔ [e:Completion of the body; one of the twelve rises and falls ( དར་གུད་བཅུ་གཉིས ) calculations ལུས་ཟུངས Bodily constituents ལུས་ཟུངས་བདུན The seven bodily constituents (Ayur: sat dhatus)   ༼m1༽ དངས་མ -Nutritional essence   ༼m2༽ ཁྲག -Blood   ༼m3༽ ཤ -Muscle tissue   ༼m4༽ ཚིལ -Fatty tissues   ༼m5༽ རུས -Bone   ༼m6༽ རྐང -Marrow   ༼m7༽ khu.ba-regenerative essence/fluids ལུས་རིད Emaciation of the body ལུས་སེམས་ལྕི Heaviness of body and mind ལེ་བརྒན Tagetes erecta L. ལེ་བརྒན་དམན་པ Calendule officinalis L. ལེ་ལོ Laziness ལེན་པ To take (grasping) ལེན་པ་པོ Taker ལེན་པ་པོ་བཞི The four takers   ༼m1༽ དྲང་སོང་ཀུན་ཏུ་ལེནཔ   ༼m2༽ དྲང་སོངཇང་དཀ་ལེནཔ   ༼m3༽ དྲང་སོང་དེ་ཝར་ཀནཔ   ༼m4༽ དྲང་སོང་ཉེ་ཝར་ལེནཔ ལེའུ Chapter ལོ་འཁོརཔད་ཚལ ༼en=༽ Cabbage ༼bot=༽ Brassica Oleracea Taste: Slightly sweet to salty Potency: Cool Uses: Raw vegetable was eaten by over-indulgent Romans to prevent drunkeness. It helps imunize against breast cancer, heals tissues by encouraging cells to proliferate. It is an antibiotic food and possesses antibacterial powers, acts as anti-inflamatory, anti-rheumatic and liver decongestant. Fresh cabbage juice is very valuable in both gastric and duodenal ulcers. The juice is also beneficial in infectious diseases like obstruction jaundice and bladder infection. Externally the leave of cabbages can be used on wounds, inflammations, arthritic joints, ulcers and skin conditions like acne. In folk medicines, it is taken internally for ailments like digestive and lung disorders, migraines, fluid retention and aches and pains. Recent clinical trials have demonstrated their effectiveness in treating stomach ulcers and obesity. ལོ་འགོ The beginning of the year ལོ་རྒན་དྲུག་ཅུ Sixty-year cycle ལོ་བརྒྱད་དྲི་ཆུ Urine of an eight year old (child)  
ལོ་ཏོག་	Crops [e:Crops  
ལོ་ཐོ་	"Almanac, ephemeris; which shows the precise daily motion of the sun and planets [e:Almanac, ephemeris; which shows the precise daily motion of the sun and planets   ལོ་ཐོ་རྒྱས་བྲིང་བསྡུས་གསུམ་"" ln=""tb"" />  "
ལོ་ནད་སྟན་འབྱར་	Bedridden due to prolonged illness [e:Bedridden due to prolonged illness  
ལོ་མར་	Aged butter [e:Aged butter (༼lv=lit༽ one year old butter)  
ལོ་ཟླ་ཞག་དུས་ཀྱི་ཁམས་	Elements of the year, month, day and time [e:Elements of the year, month, day and time  
ལོ་ཤ་	Aged meat [e:Aged meat (༼lv=lit༽ one year old meat)  
ལོ་བཤད་	Explanation of the year [e:Explanation of the year  
ལོ་གསར་	New Year [e:New Year  
ལོ་གསར་གནམ་གང་	New year eve [e:New year eve  
ལོང་	Colon A part of the large intestine which begins at caecum and ends at rectum [e:Colon A part of the large intestine which begins at caecum and ends at rectum     
ལོང་ག་	Large intestine [e:Large intestine     
ལོང་ནད་	Diseases of the large intestine ལོང་བུ Ankle bones [e:Diseases of the large intestine ལོང་བུ Ankle bones  
ལོང་རྩ་	Veins in the ankles [e:Veins in the ankles (blood letting branches of the saphanous)  
ལོང་གསང་	A moxibustiion point at the sixteenth vertebra which is associated with large intestine; performing moxibustion at this point cures distension of large intestine due to entering of cold wind, intestinal tumour etc. [e:A moxibustiion point at the sixteenth vertebra which is associated with large intestine; performing moxibustion at this point cures distension of large intestine due to entering of cold wind, intestinal tumour etc.  
ལོངས་སྐུ་	The enjoyment body [e:The enjoyment body (Buddha's actual subtle form)  
ཤ་	 ༼m1༽ Muscle tissues [e:  ༼m1༽ Muscle tissues   ༼m2༽ Meat     
ཤ་ཀ་མ་	༼bot=༽ Crocus sativus Linn It is a synonym of གུར་གུམ [e:༼bot=༽ Crocus sativus Linn It is a synonym of གུར་གུམ (saffron,).     
ཤ་བཀྲ་	Vitiligo or leucoderma A condition characterised by loss of skin pigment in patches [e:Vitiligo or leucoderma A condition characterised by loss of skin pigment in patches  
ཤ་ཁ་མ་	It is a synonym of ཁ་ཆེ་གུར་གུམ [e:It is a synonym of ཁ་ཆེ་གུར་གུམ (Crocus sativus L.).     
ཤ་ཁུ་	Meat broth ཤ་རྒྱུས་ཀྱི་མམ་བཞག The musular system [e:Meat broth ཤ་རྒྱུས་ཀྱི་མམ་བཞག The musular system  
ཤ་ཆེན་	It is a synonym of མི་ཤ [e:It is a synonym of མི་ཤ (human flesh)  
ཤ་བ་	Deer [e:Deer (Cervus sp.)     
ཤ་མ་	Placenta An organ in the womb of a pregnant mammal, which supplies blood and nourishment to the fetus through the umbilical cord. [e:Placenta An organ in the womb of a pregnant mammal, which supplies blood and nourishment to the fetus through the umbilical cord.     
ཤ་མོ་	༼en=༽ Mushroom [e:༼en=༽ Mushroom Taste: Sweet and salty Potency: Neutral Uses: It is generally useful in the treatment of poisoning and wounds.     
ཤ་ཟ་	Pisaci Carnivorus [e:༼sk= Pisaci༽ Carnivorus     
ཤ་ཟན་	Carnivorous animal [e:Carnivorous animal  
ཤ་རུ་	Stagis Antler [e:Stagis Antler     
ཤ་རུལ་	Rotten meat [e:Rotten meat  
ཤ་རློན་	Raw meat [e:Raw meat  
ཤ་ལ་ཡུ་རིང་	༼bot=༽ Cremanthodium decaisnei C.B. Clorke [e:༼bot=༽ Cremanthodium decaisnei C.B. Clorke  
ཤ་ལང་འབངས་	It is a synonym of ཀྱི་ལྕེ་དཀར་པོའི་མེ་ཏོག [e:It is a synonym of ཀྱི་ལྕེ་དཀར་པོའི་མེ་ཏོག (Gentiana straminea Maxim).  
ཤང་དྲིལ་	༼bot=༽ Primula sp. [e:༼bot=༽ Primula sp. (Primula sikkimensis)  
ཤང་ལེན་སྨུག་པོ་	Driophyton Wallichii Benth. ཤང་ཤང Civameivaka A winged creature with bird legs and human torso. [e:Driophyton Wallichii Benth. ཤང་ཤང Civameivaka A winged creature with bird legs and human torso.  
ཤམ་བཧ་ལ་	shambala Shambala; a pure land which is the cradle of Kalachakra Tantra [e:shambala Shambala; a pure land which is the cradle of Kalachakra Tantra  
ཤར་	East [e:East     
ཤར་སྐར་བདུན་	The seven constellations in the east according to Elemental astrology system [e:The seven constellations in the east according to Elemental astrology system ( འབྱུང་རྩི་ལུགས ): 1. སྨིན་དྲུག -Ksittika. 2. སྣར་མ -Rohini 3. མགོ -Mrigasira 4. ལག -Aridra 5. ནབ་སོ -Punarvasu 6. རྒྱལ -Pushyami 7. སྐག -Aslesha  
ཤི་བ་	Die, dead, [e:Die, dead,     
ཤིང་ཀུན་	༼hn=༽ Hing/Hingu ༼en=༽ Devil's dung ༼bot=༽ Ferula asafoetida [e:༼hn=༽ Hing/Hingu ༼en=༽ Devil's dung ༼bot=༽ Ferula asafoetida Taste: Hot Potency: Warm Uses: It is used against hysteria, impaired digestive heat, loss of bodily heat, cold disorders, flatulence and diseases associated with micro-organism.     
ཤིང་གི་སྙིང་པོ་	A synonym for ga.bur [e:A synonym for ga.bur (Cinnamomum camphora).  
ཤིང་སྡོང་	Tree [e:Tree  
ཤིང་ལྤགས་	Bark [e:Bark  
ཤིང་སྨན་	Medicinal tree like Santalum [e:Medicinal tree like Santalum (album Linn) etc.  
ཤིང་ཚ་	Tvak ༼hn=༽ Dalchini/ Tejpati Englis Name: Cinnamon ༼bot=༽ Cinnamomum zeylanicum Family: Lauraceae [e:༼sk= Tvak༽ ༼hn=༽ Dalchini/ Tejpati Englis Name: Cinnamon ༼bot=༽ Cinnamomum zeylanicum Family: Lauraceae Taste: Hot to sweet Potency: Warm Uses: It is recommended for impaired digestive heat, indigestion, flatulence, blood sugar, pain during menstrual cycle, weak kidney and diarrhoea.  
ཤིང་ཚའི་ལོ་མ་	Tej pattra ༼bot=༽ Cinnamomum Cassia/ Tamala [e:༼sk= Tej pattra༽ ༼bot=༽ Cinnamomum Cassia/ Tamala  
ཤིན་སྦྱངས་	Pliancy; suppleness It is a very basic necessity for firm understanding of the emptiness ( སྟོང་ཉིད ), gained through the power of calm-abiding mediation [e:Pliancy; suppleness It is a very basic necessity for firm understanding of the emptiness ( སྟོང་ཉིད ), gained through the power of calm-abiding mediation ( སམཐ ).     
ཤུ་ཏི་	It is a synonym of འཨུུ་སུ [e:It is a synonym of འཨུུ་སུ (Coriandrum sativum L.).  
ཤུ་ཐོར་	Blisters A contagious skin disease which arises due to an imbalance in the internal micro-organism and increase in serum. It is characterised by itchy blisters that mainly form around the ears, face, arms and legs which leads to the outflow of liquid after scratching the affected part. [e:Blisters A contagious skin disease which arises due to an imbalance in the internal micro-organism and increase in serum. It is characterised by itchy blisters that mainly form around the ears, face, arms and legs which leads to the outflow of liquid after scratching the affected part.  
ཤུ་དག་དཀར་པོ་	༼hn=༽ Bacha/Vacha ༼en=༽ Sweet flag ༼bot=༽ Acorus Gramineus solad [e:༼hn=༽ Bacha/Vacha ༼en=༽ Sweet flag ༼bot=༽ Acorus Gramineus solad Taste: Hot Potency: Warm Uses: It is used to treat debility, dullness of body and mind, food poisoning and loss of appetite.  
ཤུ་དག་ནག་པོ་	༼hn=༽ Bacha/Vacha ༼en=༽ Sweet flag ༼bot=༽ Acorus Calamus L. [e:༼hn=༽ Bacha/Vacha ༼en=༽ Sweet flag ༼bot=༽ Acorus Calamus L. Taste: Hot Potency: Warm Uses: It is used to treat weak digestive heat, indigestion, inflammation, diptheria, sudden swelling and coma due to སྙིང་རླུང (heart disorder associated with རླུང ).  
ཤུ་བ་	Visphotaka Blister, Abscess, An eruption of boils on the outer skin with formation of pus and fluid [e:Blister, Abscess, ༼sk= Visphotaka༽ An eruption of boils on the outer skin with formation of pus and fluid     
ཤུག་པ་ཚེར་ཅན་	༼en=༽ Juniper ༼bot=༽ Juniperus squamata [e:༼en=༽ Juniper ༼bot=༽ Juniperus squamata Taste: Bitter Potency: Cool Uses: It is used against hot disorders of the kidneys, accumulation of serous fluids in the joints and to relieve sudden swelling.  
ཤུག་འབྲུ་	༼en=༽ Juniper seed ༼bot=༽ Juniperus indica Uses: It is used against joint pain, pneumonitis, hepatitis, cholecystitis and diuretic or frequent urination. [e:༼en=༽ Juniper seed ༼bot=༽ Juniperus indica Uses: It is used against joint pain, pneumonitis, hepatitis, cholecystitis and diuretic or frequent urination.  
ཤུག་པ་	Juniper [e:Juniper  
ཤུན་པ་	Bark [e:Bark  
ཤེལ་	ཤེལ་ཆུ་ཤེལ ༼en=༽ Crystallum [e:ཤེལ་ཆུ་ཤེལ ༼en=༽ Crystallum Taste: Sweet Uses: It treats fevers, lethargy, drowsiness and promotes the clearity of mind.     
ཤེལ་ཏ་	༼en=༽ Galipot, Pine resin ༼bot=༽ Pinus griffithii Uses: It retains bone resin and drains serous fluid from bones. [e:༼en=༽ Galipot, Pine resin ༼bot=༽ Pinus griffithii Uses: It retains bone resin and drains serous fluid from bones.  
ཤེལ་རྡོ་	Pyrorgyritum [e:Pyrorgyritum  
ཤེས་པ་	Awareness; consciousness; mind [e:Awareness; consciousness; mind     
ཤེས་བྱ་	Object of knowledge [e:Object of knowledge     
ཤེས་ཚོར་	Feeling, sense [e:Feeling, sense  
ཤེས་བཞིན་	Introspection, introspective awareness [e:Introspection, introspective awareness     
ཤེས་ཡོན་ཅན་	Intellectual, learned [e:Intellectual, learned  
ཤེས་རབ་	Wisdom [e:Wisdom     
ཤོ་མང་	༼en=༽ Dockleaf ༼bot=༽ Rumex hepatonsis, Rumex nepalensis Spreng [e:༼en=༽ Dockleaf ༼bot=༽ Rumex hepatonsis, Rumex nepalensis Spreng Taste: Sweet and bitter Potency: Cool Uses: It is useful in the treatment of constipation, poisoning, stagnation of impure or bad blood, swelling, infectious fever, fever due to wound and eliminates micro-organisms.  
ཤོ་རེ་	Hare-lip [e:Hare-lip  
ཤོག་ཤིང་	A synonym of ་རེ་ལྕག་པ [e:A synonym of ་རེ་ལྕག་པ (Stellera chamaejasme L.).  
གཤའ་དཀར་	Tin [e:Tin  
གཤིན་རྩིས་	Death astrology, Death calculation [e:Death astrology, Death calculation  
གཤིས་རྒྱུད་	Nature, temperament [e:Nature, temperament  
བཤང་	-Defecation or stool [e:-Defecation or stool     
བཤད་རྒྱུད་	The Explanatory Tantra—the second volume of the རྒྱུད་བཞི which consists of thirty one chapters. The Explanatory Tantra is compared to the sun and moon over the sky so vast, as it gives clear explanation of both the meaning and words of the text. [e:The Explanatory Tantra—the second volume of the རྒྱུད་བཞི which consists of thirty one chapters. The Explanatory Tantra is compared to the sun and moon over the sky so vast, as it gives clear explanation of both the meaning and words of the text.  
བཤལ་	Purgatives [e:Purgatives  
བཤུལ་ཆགས་	A class of hooved animals [e:A class of hooved animals (i.e. horse, donkey, mule etc.)  
ཤྲི་ཁན་ཏ་	༼bot=༽ Rhus verniciflus Stokes [e:༼bot=༽ Rhus verniciflus Stokes Taste: Astringent to bitter Potency: Warm and highly poisonous Uses: It is useful in the treatment of constipation.  
ས་ག་	Visakha ༼m1༽ , Ox faced [e:  ༼m1༽ ༼sk= Visakha༽, Ox faced   ༼m2༽ Vaisakha, Zubemubi (15th constellation)     
ས་སྒོ་	Earth door [e:Earth door  
ས་བདག་	bhumipat , Lord of the locality, Lord of the earth It refers to spirits who are local deities. [e:༼sk= bhumipat༽, Lord of the locality, Lord of the earth It refers to spirits who are local deities.  
ས་དཔྱད་	Tibetan geomancy and 'feng shui'. ས་ཆེ is the subject of earth or geographical analysis [e:Tibetan geomancy and 'feng shui'. ས་ཆེ is the subject of earth or geographical analysis  
ས་བོན་སྐྲན་	Ovum tumour [e:Ovum tumour  
ས་སྨན་	Medicinal soil like sulphur; ༼grm=lit༽ earth medicine [e:Medicinal soil like sulphur; ༼grm=lit༽ earth medicine  
ས་ཚ་	Stamp clay [e:Stamp clay  
ས་ཞིང་	Farm land, field [e:Farm land, field     
ས་གཞོང་	A unique Tibetan astronomical calculating board [e:A unique Tibetan astronomical calculating board  
ས་ཟླ་	Vaisakh; fourth month of Tibetan lunar calender [e:Vaisakh; fourth month of Tibetan lunar calender  
ས་རི་	Swati, Arcturus [e:Swati, Arcturus (it is the 14th constellation)  
སངས་རྒྱས་ཀྱི་རང་བཞིན་	Buddha nature [e:Buddha nature  
